,prompt,response
0,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    Who is Jamarcus Russell?",{'keywords': ['Jamarcus Russell']}
1,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    Who is Justin Bieber?",{'keywords': ['Justin Bieber']}
2,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    What movie was Natalie Portman in?","{'keywords': ['movie', 'Natalie Portman']}"
3,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    What character did Natalie Portman play in the Star Wars prequel trilogy?","{'keywords': ['Natalie Portman', 'Star Wars prequel trilogy', 'character']}"
4,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    Who is Selena Gomez?",{'keywords': ['Selena Gomez']}
5,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    Who is Justin Bieber?",{'keywords': ['Justin Bieber']}
6,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    What movie was Natalie Portman in?","{'keywords': ['movie', 'Natalie Portman']}"
7,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    What character did Natalie Portman play in the Star Wars prequel trilogy?","{'keywords': ['Natalie Portman', 'Star Wars prequel trilogy', 'character']}"
8,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    Who is Selena Gomez?",{'keywords': ['Selena Gomez']}
9,"In the following query, the user is asking for information about a topic.
    Your job is to identify the key words in the query that are relevant to the topic.
    For example, if the query is ""Where was Joe Biden born?"", the key words are ""birthplace"", ""born"", and ""Joe Biden"".
    Another example, if the query is ""Who is Justin Bieber's brother?"", the key words are ""Justin Bieber"", ""brother"", ""siblings"", and ""son"".
    
    Respond in this format:
    {
        ""keywords"": [""keyword1"", ""keyword2"", ...]
    }
    Always adhere to JSON syntax.

    Here is the query:
    What state was Selena Gomez born in?","{'keywords': ['Selena Gomez', 'born', 'state']}"
